"category","severity","id","name","details"
"missing_photo_url","low","120","E3 Етап 2: Петрохан - Лакатник","photo_url is missing"
"missing_photo_url","low","121","E3 Етап 3: Лакатник - Витиня","photo_url is missing"
"missing_photo_url","low","13","E4 Етап 8: Мусала - Пирин национален парк","photo_url is missing"
"missing_photo_url","low","136","E3 Етап 1: Ком връх - Петрохан","photo_url is missing"
"missing_photo_url","low","14","E4 Етап 9: Пирин - връх Вихрен","photo_url is missing"
"missing_photo_url","low","15","Долина на река Благоевградска Бистрица","photo_url is missing"
"missing_photo_url","low","152","Агушеви конаци","photo_url is missing"
"missing_photo_url","low","153","Академика","photo_url is missing"
"missing_photo_url","low","154","Аладжа манастир","photo_url is missing"
"missing_photo_url","low","155","Албутински манастир","photo_url is missing"
"missing_photo_url","low","156","Алеко","photo_url is missing"
"missing_photo_url","low","157","Алея на билките","photo_url is missing"
"missing_photo_url","low","158","Али ботуш","photo_url is missing"
"missing_photo_url","low","159","Ардинци","photo_url is missing"
"missing_photo_url","low","160","Аркутино","photo_url is missing"
"missing_photo_url","low","161","Атанасовско езеро","photo_url is missing"
"missing_photo_url","low","162","Баба Вида","photo_url is missing"
"missing_photo_url","low","163","Бабин пласт","photo_url is missing"
"missing_photo_url","low","164","Бабини Видини кули","photo_url is missing"
"missing_photo_url","low","165","Бабско пръскало","photo_url is missing"
"missing_photo_url","low","166","Байкушевата мура","photo_url is missing"
"missing_photo_url","low","167","Балчик","photo_url is missing"
"missing_photo_url","low","168","Батак","photo_url is missing"
"missing_photo_url","low","169","Беглик таш","photo_url is missing"
"missing_photo_url","low","170","Беглика","photo_url is missing"
"missing_photo_url","low","171","Беглика рали","photo_url is missing"
"missing_photo_url","low","172","Беклемето","photo_url is missing"
"missing_photo_url","low","173","Беласица","photo_url is missing"
"missing_photo_url","low","174","Бели Искър","photo_url is missing"
"missing_photo_url","low","175","Белинташ","photo_url is missing"
"missing_photo_url","low","176","Белмекен","photo_url is missing"
"missing_photo_url","low","177","Белоградчишки скали","photo_url is missing"
"missing_photo_url","low","178","Биосферен резерват","photo_url is missing"
"missing_photo_url","low","179","Бистрица","photo_url is missing"
"missing_photo_url","low","180","Бистришко бранище","photo_url is missing"
"missing_photo_url","low","181","Бодрост","photo_url is missing"
"missing_photo_url","low","182","Божевски водопад","photo_url is missing"
"missing_photo_url","low","183","Божият мост","photo_url is missing"
"missing_photo_url","low","184","Болата","photo_url is missing"
"missing_photo_url","low","185","Ботев връх","photo_url is missing"
"missing_photo_url","low","186","Бродилово","photo_url is missing"
"missing_photo_url","low","187","Бузлуджа","photo_url is missing"
"missing_photo_url","low","188","Буйновско ждрело","photo_url is missing"
"missing_photo_url","low","189","Буная","photo_url is missing"
"missing_photo_url","low","190","Българи","photo_url is missing"
"missing_photo_url","low","191","Бяла река","photo_url is missing"
"missing_photo_url","low","192","В царството на зелениката","photo_url is missing"
"missing_photo_url","low","193","Варовитец","photo_url is missing"
"missing_photo_url","low","194","Велека","photo_url is missing"
"missing_photo_url","low","195","Видимско пръскало","photo_url is missing"
"missing_photo_url","low","196","Вкаменената сватба","photo_url is missing"
"missing_photo_url","low","197","Врабча","photo_url is missing"
"missing_photo_url","low","198","Вратцата","photo_url is missing"
"missing_photo_url","low","199","Врелото","photo_url is missing"
"missing_photo_url","low","200","Вълчи камък","photo_url is missing"
"missing_photo_url","low","201","Геопарк Искър-Панега","photo_url is missing"
"missing_photo_url","low","202","Гложенски манастир","photo_url is missing"
"missing_photo_url","low","203","Голяма Сюткя","photo_url is missing"
"missing_photo_url","low","204","Горица","photo_url is missing"
"missing_photo_url","low","205","Горна земя","photo_url is missing"
"missing_photo_url","low","206","Градище","photo_url is missing"
"missing_photo_url","low","207","Граматиково","photo_url is missing"
"missing_photo_url","low","208","Двете реки","photo_url is missing"
"missing_photo_url","low","209","Деветашка пещера","photo_url is missing"
"missing_photo_url","low","210","Дерменка","photo_url is missing"
"missing_photo_url","low","211","Долмените","photo_url is missing"
"missing_photo_url","low","212","Доспат","photo_url is missing"
"missing_photo_url","low","213","Драгоманско блато","photo_url is missing"
"missing_photo_url","low","214","Дуранкулак","photo_url is missing"
"missing_photo_url","low","215","Дървото на живота","photo_url is missing"
"missing_photo_url","low","216","Дяволски мост","photo_url is missing"
"missing_photo_url","low","217","Дяволското гърло","photo_url is missing"
"missing_photo_url","low","226","Енина","photo_url is missing"
"missing_photo_url","low","227","Етрополски водопад","photo_url is missing"
"missing_photo_url","low","228","Жеравна","photo_url is missing"
"missing_photo_url","low","229","Златна Панега","photo_url is missing"
"missing_photo_url","low","230","Златни пясъци","photo_url is missing"
"missing_photo_url","low","231","Златните мостове","photo_url is missing"
"missing_photo_url","low","232","Златолист","photo_url is missing"
"missing_photo_url","low","233","Ивановски скални църкви","photo_url is missing"
"missing_photo_url","low","234","Изворите на Младежка","photo_url is missing"
"missing_photo_url","low","235","Изворите на река Въча","photo_url is missing"
"missing_photo_url","low","236","Индипаска","photo_url is missing"
"missing_photo_url","low","237","Искър-Панега","photo_url is missing"
"missing_photo_url","low","238","Кадемлийско пръскало","photo_url is missing"
"missing_photo_url","low","239","Казанджи дере","photo_url is missing"
"missing_photo_url","low","240","Калиакра","photo_url is missing"
"missing_photo_url","low","241","Каменни гъби","photo_url is missing"
"missing_photo_url","low","242","Камчийски пясъци","photo_url is missing"
"missing_photo_url","low","243","Камчия","photo_url is missing"
"missing_photo_url","low","244","Каньона на водопадите","photo_url is missing"
"missing_photo_url","low","245","Каньонът на река Герзовица","photo_url is missing"
"missing_photo_url","low","247","Караджов камък","photo_url is missing"
"missing_photo_url","low","248","Карандила","photo_url is missing"
"missing_photo_url","low","249","Картала","photo_url is missing"
"missing_photo_url","low","25","E3 Етап 10: Шипка - Емине връх","photo_url is missing"
"missing_photo_url","low","250","Кечика Кая","photo_url is missing"
"missing_photo_url","low","251","Кикиш","photo_url is missing"
"missing_photo_url","low","252","Кирилова поляна","photo_url is missing"
"missing_photo_url","low","253","Киселчово","photo_url is missing"
"missing_photo_url","low","254","Княжевска пътека","photo_url is missing"
"missing_photo_url","low","255","Кобилино бранище","photo_url is missing"
"missing_photo_url","low","256","Кожух планина","photo_url is missing"
"missing_photo_url","low","257","Козя стена","photo_url is missing"
"missing_photo_url","low","258","Комините","photo_url is missing"
"missing_photo_url","low","259","Копитото – Момина скала","photo_url is missing"
"missing_photo_url","low","260","Копрен","photo_url is missing"
"missing_photo_url","low","261","Кости","photo_url is missing"
"missing_photo_url","low","262","Костина","photo_url is missing"
"missing_photo_url","low","263","Котел","photo_url is missing"
"missing_photo_url","low","264","Крушунски водопади","photo_url is missing"
"missing_photo_url","low","265","Кръстова гора","photo_url is missing"
"missing_photo_url","low","266","Кървавата скала","photo_url is missing"
"missing_photo_url","low","267","Лакатнишки скали","photo_url is missing"
"missing_photo_url","low","268","Леденика","photo_url is missing"
"missing_photo_url","low","269","Лешнишки водопад","photo_url is missing"
"missing_photo_url","low","270","Лисиците","photo_url is missing"
"missing_photo_url","low","271","Лозенски манастир","photo_url is missing"
"missing_photo_url","low","272","Ломски каньон","photo_url is missing"
"missing_photo_url","low","273","Лъвската глава","photo_url is missing"
"missing_photo_url","low","274","Мадарски конник","photo_url is missing"
"missing_photo_url","low","275","Мазалат","photo_url is missing"
"missing_photo_url","low","276","Малко Търново","photo_url is missing"
"missing_photo_url","low","277","Мальовица","photo_url is missing"
"missing_photo_url","low","278","Марциганица","photo_url is missing"
"missing_photo_url","low","279","Маслен нос","photo_url is missing"
"missing_photo_url","low","280","Меандри на Арда","photo_url is missing"
"missing_photo_url","low","281","Меаните","photo_url is missing"
"missing_photo_url","low","282","Медвен","photo_url is missing"
"missing_photo_url","low","283","Мелнишки пирамиди","photo_url is missing"
"missing_photo_url","low","284","Мечи стъпки","photo_url is missing"
"missing_photo_url","low","285","Минерални бани","photo_url is missing"
"missing_photo_url","low","286","Мишкова нива","photo_url is missing"
"missing_photo_url","low","287","Момчил юнак","photo_url is missing"
"missing_photo_url","low","288","Момчилова крепост","photo_url is missing"
"missing_photo_url","low","289","Невястата","photo_url is missing"
"missing_photo_url","low","290","Обесен камък","photo_url is missing"
"missing_photo_url","low","291","Окопна манастир","photo_url is missing"
"missing_photo_url","low","292","Ореляк","photo_url is missing"
"missing_photo_url","low","293","Орлови скали","photo_url is missing"
"missing_photo_url","low","294","Орлово око","photo_url is missing"
"missing_photo_url","low","295","Парилско седло","photo_url is missing"
"missing_photo_url","low","296","Пеещи скали","photo_url is missing"
"missing_photo_url","low","297","Перперикон","photo_url is missing"
"missing_photo_url","low","298","Петрова нива","photo_url is missing"
"missing_photo_url","low","299","Пещера Песнопой","photo_url is missing"
"missing_photo_url","low","300","Поглед към девет планини","photo_url is missing"
"missing_photo_url","low","301","Пода","photo_url is missing"
"missing_photo_url","low","302","Поломие","photo_url is missing"
"missing_photo_url","low","303","Поляната","photo_url is missing"
"missing_photo_url","low","304","Поморие","photo_url is missing"
"missing_photo_url","low","305","Понтийски път","photo_url is missing"
"missing_photo_url","low","306","Попови ливади","photo_url is missing"
"missing_photo_url","low","307","Правешка екопътека","photo_url is missing"
"missing_photo_url","low","308","Пътека","photo_url is missing"
"missing_photo_url","low","309","Райското пръскало","photo_url is missing"
"missing_photo_url","low","31","Red Dot Trail - Витоша","photo_url is missing"
"missing_photo_url","low","310","Резово","photo_url is missing"
"missing_photo_url","low","311","Рибарица","photo_url is missing"
"missing_photo_url","low","312","Рибни езера","photo_url is missing"
"missing_photo_url","low","313","Рилски манастир","photo_url is missing"
"missing_photo_url","low","314","Ритлите","photo_url is missing"
"missing_photo_url","low","315","Роженски манастир","photo_url is missing"
"missing_photo_url","low","316","Ропотамо","photo_url is missing"
"missing_photo_url","low","317","Рупите","photo_url is missing"
"missing_photo_url","low","318","Русалка","photo_url is missing"
"missing_photo_url","low","319","Самуилова крепост","photo_url is missing"
"missing_photo_url","low","32","Боров камък - Враца","photo_url is missing"
"missing_photo_url","low","320","Сандански","photo_url is missing"
"missing_photo_url","low","321","Света Петка","photo_url is missing"
"missing_photo_url","low","322","Светлина","photo_url is missing"
"missing_photo_url","low","323","Седемте рилски езера","photo_url is missing"
"missing_photo_url","low","324","Силистар","photo_url is missing"
"missing_photo_url","low","325","Симеоновски езера","photo_url is missing"
"missing_photo_url","low","326","Сините камъни","photo_url is missing"
"missing_photo_url","low","327","Синия вир","photo_url is missing"
"missing_photo_url","low","328","Скакавица","photo_url is missing"
"missing_photo_url","low","329","Скакля","photo_url is missing"
"missing_photo_url","low","33","Триградско ждрело - Смолян","photo_url is missing"
"missing_photo_url","low","330","Скални манастири","photo_url is missing"
"missing_photo_url","low","331","Скални църкви","photo_url is missing"
"missing_photo_url","low","332","Славянка","photo_url is missing"
"missing_photo_url","low","333","Соколна","photo_url is missing"
"missing_photo_url","low","334","Соколски манастир","photo_url is missing"
"missing_photo_url","low","335","Стената","photo_url is missing"
"missing_photo_url","low","336","Стобски пирамиди","photo_url is missing"
"missing_photo_url","low","337","Странджански дъб","photo_url is missing"
"missing_photo_url","low","338","Струилица – Калето – Лъката","photo_url is missing"
"missing_photo_url","low","339","Сухото езеро","photo_url is missing"
"missing_photo_url","low","340","Сърница","photo_url is missing"
"missing_photo_url","low","341","Табашката пещера","photo_url is missing"
"missing_photo_url","low","342","Татул","photo_url is missing"
"missing_photo_url","low","343","Торфено бранище","photo_url is missing"
"missing_photo_url","low","344","Трански ждрело","photo_url is missing"
"missing_photo_url","low","345","Триглав","photo_url is missing"
"missing_photo_url","low","346","Триградско ждрело","photo_url is missing"
"missing_photo_url","low","347","Трите чуки","photo_url is missing"
"missing_photo_url","low","348","Тъжа","photo_url is missing"
"missing_photo_url","low","349","Тъмната гора","photo_url is missing"
"missing_photo_url","low","350","Узунбуджак","photo_url is missing"
"missing_photo_url","low","351","Урдини езера","photo_url is missing"
"missing_photo_url","low","352","Хайдушка песен","photo_url is missing"
"missing_photo_url","low","353","Хайдушка поляна","photo_url is missing"
"missing_photo_url","low","354","Хайдушки поляни","photo_url is missing"
"missing_photo_url","low","355","Хайдушки чуки","photo_url is missing"
"missing_photo_url","low","356","Халката","photo_url is missing"
"missing_photo_url","low","357","Царството на зелениката","photo_url is missing"
"missing_photo_url","low","358","Централен Балкан","photo_url is missing"
"missing_photo_url","low","359","Цигов чарк","photo_url is missing"
"missing_photo_url","low","360","Чаирски езера","photo_url is missing"
"missing_photo_url","low","361","Черепишки манастир","photo_url is missing"
"missing_photo_url","low","362","Чернелка","photo_url is missing"
"missing_photo_url","low","363","Черни връх","photo_url is missing"
"missing_photo_url","low","364","Чипровски водопад","photo_url is missing"
"missing_photo_url","low","365","Чифлик","photo_url is missing"
"missing_photo_url","low","366","Чудните мостове","photo_url is missing"
"missing_photo_url","low","367","Чуйпетлово","photo_url is missing"
"missing_photo_url","low","368","Шабла","photo_url is missing"
"missing_photo_url","low","369","Шейтан дере","photo_url is missing"
"missing_photo_url","low","370","Шипка","photo_url is missing"
"missing_photo_url","low","371","Шипково","photo_url is missing"
"missing_photo_url","low","372","Широка поляна","photo_url is missing"
"missing_photo_url","low","373","Шуменско плато","photo_url is missing"
"missing_photo_url","low","374","Юмрукчал","photo_url is missing"
"missing_photo_url","low","375","Юндола","photo_url is missing"
"missing_photo_url","low","376","Ябланица","photo_url is missing"
"missing_photo_url","low","377","Ябланишко ждрело","photo_url is missing"
"missing_photo_url","low","378","Ягодинска пещера","photo_url is missing"
"missing_photo_url","low","379","Яйлата","photo_url is missing"
"missing_photo_url","low","380","до Кирилова поляна
259. \* Екопътека","photo_url is missing"
"missing_photo_url","low","381","до Муратово езеро
247. \* Екопътека","photo_url is missing"
"missing_photo_url","low","382","до Стрелча (Минерални извори)
295. \* Екопътека","photo_url is missing"
"missing_photo_url","low","383","до Тевно езеро
253. \* Екопътека","photo_url is missing"
"missing_photo_url","low","384","до водопад Женското пръскало
277. \* Екопътека","photo_url is missing"
"missing_photo_url","low","385","до връх Богдан
293. \* Екопътека","photo_url is missing"
"missing_photo_url","low","386","до връх Вежен
289. \* Екопътека","photo_url is missing"
"missing_photo_url","low","387","до връх Вихрен (класически маршрут)
245. \* Екопътека","photo_url is missing"
"missing_photo_url","low","388","до връх Могила
214. \* Екопътека","photo_url is missing"
"missing_photo_url","low","389","до връх Половрак
344. \* Екопътека","photo_url is missing"
"missing_photo_url","low","390","до крепостта","photo_url is missing"
"missing_photo_url","low","391","до пещера","photo_url is missing"
"missing_photo_url","low","392","към в. Свобода
228. \* Екопътека","photo_url is missing"
"missing_photo_url","low","393","към водопад Кадемлийско пръскало
269. \* Екопътека","photo_url is missing"
"missing_photo_url","low","394","към х. Безводно
230. \* Екопътека","photo_url is missing"
"missing_photo_url","low","395","към хижа Рай (от Паниците)
283. \* Екопътека","photo_url is missing"
"missing_photo_url","low","396","към хижа Рибни езера
249. \* Екопътека","photo_url is missing"
"missing_photo_url","low","397","към хижа Синаница
241. \* Екопътека","photo_url is missing"
"missing_photo_url","low","398","на Дунавските рибари
326. \* Екопътека","photo_url is missing"
"missing_photo_url","low","399","на Рилската иглика
237. \* Екопътека","photo_url is missing"
"missing_photo_url","low","400","на Свободата (Шипка)
279. \* Екопътека","photo_url is missing"
"missing_photo_url","low","401","на Чучулигите
271. \* Екопътека","photo_url is missing"
"missing_photo_url","low","402","на балканската дива коза
243. \* Екопътека","photo_url is missing"
"missing_photo_url","low","403","на билките (Бродилово)
302. \* Екопътека","photo_url is missing"
"missing_photo_url","low","404","на здравето","photo_url is missing"
"missing_photo_url","low","405","на миньора (Росен)
308. \* Екопътека","photo_url is missing"
"missing_photo_url","low","406","на партизаните (историческа)
222. \* Екопътека","photo_url is missing"
"missing_photo_url","low","443","Русенски Лом","photo_url is missing"
"missing_photo_url","low","454","E8 Етап 9: Чепино - триградско ждрело","photo_url is missing"
"missing_photo_url","low","455","E8 Етап 10: Триградско ждрело - Смолян","photo_url is missing"
"missing_photo_url","low","457","Дяволската пътека (Борино)
11. \* Екопътека","photo_url is missing"
"missing_photo_url","low","469","Смолянски езера","photo_url is missing"
"missing_photo_url","low","471","на занаятите (Златоград)
216. \* Екопътека","photo_url is missing"
"missing_photo_url","low","472","на здравето (Девин)
203. \* Екопътека","photo_url is missing"
"missing_photo_url","low","486","E4 Етап 1: Витоша - Княжево - Жиголово","photo_url is missing"
"missing_photo_url","low","487","E4 Етап 2: Жиголово - Перелик","photo_url is missing"
"missing_photo_url","low","488","E4 Етап 6: Маричини езера - Боровец","photo_url is missing"
"missing_photo_url","low","489","E4 Етап 7: Боровец - връх Мусала","photo_url is missing"
"missing_photo_url","low","490","E8 Етап 5: Стоб - Пасарел","photo_url is missing"
"missing_photo_url","low","491","E8 Етап 7: Лозен - Костенец","photo_url is missing"
"missing_photo_url","low","492","E8 Етап 6: Пасарел - връх Лозен","photo_url is missing"
"missing_photo_url","low","493","Боянски водопад","photo_url is missing"
"missing_photo_url","low","494","Боянско езеро","photo_url is missing"
"missing_photo_url","low","495","Драгалевци – Черни връх","photo_url is missing"
"missing_photo_url","low","497","Кладница – Селимица","photo_url is missing"
"missing_photo_url","low","498","Към Самоков","photo_url is missing"
"missing_photo_url","low","500","към езеро Окото (Пирин)
239. \* Екопътека","photo_url is missing"
"missing_photo_url","low","511","Вазова екопътека (Гара Бов)
3. \* Екопътека","photo_url is missing"
"missing_photo_url","low","62","Врацата","photo_url is missing"
"missing_photo_url","low","78","E3 Етап 4: Витиня - Кардиново","photo_url is missing"
"missing_photo_url","low","79","E3 Етап 5: Кардиново - Тетевен","photo_url is missing"
"missing_photo_url","low","80","E3 Етап 6: Тетевен - Чулово","photo_url is missing"
"missing_photo_url","low","81","E3 Етап 7: Чулово - Боян","photo_url is missing"
"missing_photo_url","low","82","E3 Етап 8: Боян - Розова долина","photo_url is missing"
"missing_photo_url","low","83","E3 Етап 9: Розова долина - Шипка","photo_url is missing"
"missing_photo_url","low","84","E8 Етап 8: Костенец - Чепино","photo_url is missing"
"missing_photo_url","low","93","Тетевенска баба","photo_url is missing"
"missing_length_km","medium","1","Екопътека ""Ерантис"" – Киреево","trail_details.length_km is missing"
"missing_length_km","medium","106","Екопътека до Киселчовски водопад","trail_details.length_km is missing"
"missing_length_km","medium","107","Вазова екопътека","trail_details.length_km is missing"
"missing_length_km","medium","112","Екопътека ""Пътят на Сърцето""","trail_details.length_km is missing"
"missing_length_km","medium","122","Екопътека ""Гложене - Гложенски манастир - пещера Моровица""","trail_details.length_km is missing"
"missing_length_km","medium","124","Екопътека ""Опасният зъб""","trail_details.length_km is missing"
"missing_length_km","medium","131","Местност за отдих Мийковци","trail_details.length_km is missing"
"missing_length_km","medium","132","Местност за пикник с. Малко Чочовени","trail_details.length_km is missing"
"missing_length_km","medium","134","Екопътека Искър-Панега","trail_details.length_km is missing"
"missing_length_km","medium","141","Екопътека ""Беглика""","trail_details.length_km is missing"
"missing_length_km","medium","143","Екопътека ""Поглед към девет планини""","trail_details.length_km is missing"
"missing_length_km","medium","145","Православен мемориален кръст „Памет и вяра”","trail_details.length_km is missing"
"missing_length_km","medium","149","Екопътека ""Попската скала""","trail_details.length_km is missing"
"missing_length_km","medium","15","Долина на река Благоевградска Бистрица","trail_details.length_km is missing"
"missing_length_km","medium","151","""Зелената пътека"" - Бачковски манастир","trail_details.length_km is missing"
"missing_length_km","medium","152","Агушеви конаци","trail_details.length_km is missing"
"missing_length_km","medium","153","Академика","trail_details.length_km is missing"
"missing_length_km","medium","154","Аладжа манастир","trail_details.length_km is missing"
"missing_length_km","medium","155","Албутински манастир","trail_details.length_km is missing"
"missing_length_km","medium","156","Алеко","trail_details.length_km is missing"
"missing_length_km","medium","157","Алея на билките","trail_details.length_km is missing"
"missing_length_km","medium","158","Али ботуш","trail_details.length_km is missing"
"missing_length_km","medium","159","Ардинци","trail_details.length_km is missing"
"missing_length_km","medium","16","Екопътека ""Белица - Кръстова гора""","trail_details.length_km is missing"
"missing_length_km","medium","160","Аркутино","trail_details.length_km is missing"
"missing_length_km","medium","161","Атанасовско езеро","trail_details.length_km is missing"
"missing_length_km","medium","162","Баба Вида","trail_details.length_km is missing"
"missing_length_km","medium","163","Бабин пласт","trail_details.length_km is missing"
"missing_length_km","medium","164","Бабини Видини кули","trail_details.length_km is missing"
"missing_length_km","medium","165","Бабско пръскало","trail_details.length_km is missing"
"missing_length_km","medium","166","Байкушевата мура","trail_details.length_km is missing"
"missing_length_km","medium","167","Балчик","trail_details.length_km is missing"
"missing_length_km","medium","168","Батак","trail_details.length_km is missing"
"missing_length_km","medium","169","Беглик таш","trail_details.length_km is missing"
"missing_length_km","medium","170","Беглика","trail_details.length_km is missing"
"missing_length_km","medium","171","Беглика рали","trail_details.length_km is missing"
"missing_length_km","medium","172","Беклемето","trail_details.length_km is missing"
"missing_length_km","medium","173","Беласица","trail_details.length_km is missing"
"missing_length_km","medium","174","Бели Искър","trail_details.length_km is missing"
"missing_length_km","medium","175","Белинташ","trail_details.length_km is missing"
"missing_length_km","medium","176","Белмекен","trail_details.length_km is missing"
"missing_length_km","medium","177","Белоградчишки скали","trail_details.length_km is missing"
"missing_length_km","medium","178","Биосферен резерват","trail_details.length_km is missing"
"missing_length_km","medium","179","Бистрица","trail_details.length_km is missing"
"missing_length_km","medium","180","Бистришко бранище","trail_details.length_km is missing"
"missing_length_km","medium","181","Бодрост","trail_details.length_km is missing"
"missing_length_km","medium","182","Божевски водопад","trail_details.length_km is missing"
"missing_length_km","medium","183","Божият мост","trail_details.length_km is missing"
"missing_length_km","medium","184","Болата","trail_details.length_km is missing"
"missing_length_km","medium","185","Ботев връх","trail_details.length_km is missing"
"missing_length_km","medium","186","Бродилово","trail_details.length_km is missing"
"missing_length_km","medium","187","Бузлуджа","trail_details.length_km is missing"
"missing_length_km","medium","188","Буйновско ждрело","trail_details.length_km is missing"
"missing_length_km","medium","189","Буная","trail_details.length_km is missing"
"missing_length_km","medium","190","Българи","trail_details.length_km is missing"
"missing_length_km","medium","191","Бяла река","trail_details.length_km is missing"
"missing_length_km","medium","192","В царството на зелениката","trail_details.length_km is missing"
