"id","name","region","nearest_town","latitude","longitude","length_km","difficulty","route_type","description_existing","enriched_description_bg","short_summary_bg","key_highlights","terrain_and_difficulty","suitable_for","best_season","cautions","nearby_points_of_interest","sources_urls","confidence","reviewer_notes"
"210","Дерменка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дерменка.","","","","","","","","","","",""
"211","Долмените","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Долмените.","","","","","","","","","","",""
"212","Доспат","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Доспат.","","","","","","","","","","",""
"213","Драгоманско блато","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Драгоманско блато.","","","","","","","","","","",""
"214","Дуранкулак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дуранкулак.","","","","","","","","","","",""
"215","Дървото на живота","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дървото на живота.","","","","","","","","","","",""
"216","Дяволски мост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дяволски мост.","","","","","","","","","","",""
"217","Дяволското гърло","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Дяволското гърло.","","","","","","","","","","",""
"226","Енина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Енина.","","","","","","","","","","",""
"227","Етрополски водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Етрополски водопад.","","","","","","","","","","",""
"228","Жеравна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Жеравна.","","","","","","","","","","",""
"229","Златна Панега","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златна Панега.","","","","","","","","","","",""
"230","Златни пясъци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златни пясъци.","","","","","","","","","","",""
"231","Златните мостове","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златните мостове.","","","","","","","","","","",""
"232","Златолист","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Златолист.","","","","","","","","","","",""
"233","Ивановски скални църкви","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ивановски скални църкви.","","","","","","","","","","",""
"234","Изворите на Младежка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Изворите на Младежка.","","","","","","","","","","",""
"235","Изворите на река Въча","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Изворите на река Въча.","","","","","","","","","","",""
"236","Индипаска","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Индипаска.","","","","","","","","","","",""
"237","Искър-Панега","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Искър-Панега.","","","","","","","","","","",""
"238","Кадемлийско пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кадемлийско пръскало.","","","","","","","","","","",""
"239","Казанджи дере","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Казанджи дере.","","","","","","","","","","",""
"240","Калиакра","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Калиакра.","","","","","","","","","","",""
"241","Каменни гъби","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каменни гъби.","","","","","","","","","","",""
"242","Камчийски пясъци","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Камчийски пясъци.","","","","","","","","","","",""
"243","Камчия","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Камчия.","","","","","","","","","","",""
"244","Каньона на водопадите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каньона на водопадите.","","","","","","","","","","",""
"245","Каньонът на река Герзовица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Каньонът на река Герзовица.","","","","","","","","","","",""
"247","Караджов камък","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Караджов камък.","","","","","","","","","","",""
"248","Карандила","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Карандила.","","","","","","","","","","",""
"249","Картала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Картала.","","","","","","","","","","",""
"250","Кечика Кая","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кечика Кая.","","","","","","","","","","",""
"251","Кикиш","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кикиш.","","","","","","","","","","",""
"252","Кирилова поляна","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кирилова поляна.","","","","","","","","","","",""
"253","Киселчово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Киселчово.","","","","","","","","","","",""
"254","Княжевска пътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Княжевска пътека.","","","","","","","","","","",""
"255","Кобилино бранище","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кобилино бранище.","","","","","","","","","","",""
"256","Кожух планина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кожух планина.","","","","","","","","","","",""
"257","Козя стена","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Козя стена.","","","","","","","","","","",""
"258","Комините","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Комините.","","","","","","","","","","",""
"259","Копитото – Момина скала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Копитото – Момина скала.","","","","","","","","","","",""
"260","Копрен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Копрен.","","","","","","","","","","",""
"261","Кости","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кости.","","","","","","","","","","",""
"262","Костина","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Костина.","","","","","","","","","","",""
"263","Котел","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Котел.","","","","","","","","","","",""
"264","Крушунски водопади","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Крушунски водопади.","","","","","","","","","","",""
"265","Кръстова гора","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кръстова гора.","","","","","","","","","","",""
"266","Кървавата скала","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Кървавата скала.","","","","","","","","","","",""
"267","Лакатнишки скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лакатнишки скали.","","","","","","","","","","",""
"268","Леденика","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Леденика.","","","","","","","","","","",""
"269","Лешнишки водопад","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лешнишки водопад.","","","","","","","","","","",""
"270","Лисиците","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лисиците.","","","","","","","","","","",""
"271","Лозенски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лозенски манастир.","","","","","","","","","","",""
"272","Ломски каньон","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ломски каньон.","","","","","","","","","","",""
"273","Лъвската глава","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Лъвската глава.","","","","","","","","","","",""
"274","Мадарски конник","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мадарски конник.","","","","","","","","","","",""
"275","Мазалат","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мазалат.","","","","","","","","","","",""
"276","Малко Търново","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Малко Търново.","","","","","","","","","","",""
"277","Мальовица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мальовица.","","","","","","","","","","",""
"278","Марциганица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Марциганица.","","","","","","","","","","",""
"279","Маслен нос","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Маслен нос.","","","","","","","","","","",""
"280","Меандри на Арда","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Меандри на Арда.","","","","","","","","","","",""
"281","Меаните","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Меаните.","","","","","","","","","","",""
"282","Медвен","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Медвен.","","","","","","","","","","",""
"283","Мелнишки пирамиди","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мелнишки пирамиди.","","","","","","","","","","",""
"284","Мечи стъпки","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мечи стъпки.","","","","","","","","","","",""
"285","Минерални бани","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Минерални бани.","","","","","","","","","","",""
"286","Мишкова нива","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Мишкова нива.","","","","","","","","","","",""
"287","Момчил юнак","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Момчил юнак.","","","","","","","","","","",""
"288","Момчилова крепост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Момчилова крепост.","","","","","","","","","","",""
"289","Невястата","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Невястата.","","","","","","","","","","",""
"290","Обесен камък","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Обесен камък.","","","","","","","","","","",""
"291","Окопна манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Окопна манастир.","","","","","","","","","","",""
"292","Ореляк","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ореляк.","","","","","","","","","","",""
"293","Орлови скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Орлови скали.","","","","","","","","","","",""
"294","Орлово око","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Орлово око.","","","","","","","","","","",""
"295","Парилско седло","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Парилско седло.","","","","","","","","","","",""
"296","Пеещи скали","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пеещи скали.","","","","","","","","","","",""
"297","Перперикон","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Перперикон.","","","","","","","","","","",""
"298","Петрова нива","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Петрова нива.","","","","","","","","","","",""
"299","Пещера Песнопой","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пещера Песнопой.","","","","","","","","","","",""
"300","Поглед към девет планини","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поглед към девет планини.","","","","","","","","","","",""
"301","Пода","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пода.","","","","","","","","","","",""
"302","Поломие","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поломие.","","","","","","","","","","",""
"303","Поляната","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поляната.","","","","","","","","","","",""
"304","Поморие","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Поморие.","","","","","","","","","","",""
"305","Понтийски път","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Понтийски път.","","","","","","","","","","",""
"306","Попови ливади","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Попови ливади.","","","","","","","","","","",""
"307","Правешка екопътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Правешка екопътека.","","","","","","","","","","",""
"308","Пътека","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Пътека.","","","","","","","","","","",""
"309","Райското пръскало","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Райското пръскало.","","","","","","","","","","",""
"310","Резово","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Резово.","","","","","","","","","","",""
"311","Рибарица","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рибарица.","","","","","","","","","","",""
"312","Рибни езера","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рибни езера.","","","","","","","","","","",""
"313","Рилски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рилски манастир.","","","","","","","","","","",""
"314","Ритлите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ритлите.","","","","","","","","","","",""
"315","Роженски манастир","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Роженски манастир.","","","","","","","","","","",""
"316","Ропотамо","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Ропотамо.","","","","","","","","","","",""
"317","Рупите","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Рупите.","","","","","","","","","","",""
"318","Русалка","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Русалка.","","","","","","","","","","",""
"319","Самуилова крепост","Пловдив","",,,"","умерена","кръгов","Екопътека във България, регион Пловдив. Самуилова крепост.","","","","","","","","","","",""
